current_house_price,zipcode,ownership_pct
956216,15540,0.01
679323,33220,0.017
934619,35380,0.099
172686,29460,0.087
781294,29540,0.1
485692,29420,0.001
840575,35004,0.057
199786,36100,0.036
291496,22140,0.077
281414,50049,0.027
905229,50048,0.039
457671,38060,0.003
801387,24500,0.051
702303,50029,0.022
695074,20524,0.017
279072,48424,0.013
530570,11260,0.021
686326,13460,0.067
785639,29820,0.082
284440,25620,0.004
749542,23104,0.052
279536,34940,0.074
614442,50039,0.045
465132,15260,0.097
514573,48260,0.033
961462,27740,0.062
804810,43524,0.1
553079,32580,0.088
909073,14020,0.06
212175,29740,0.069
287733,48620,0.037
547950,16580,0.037
816255,19300,0.032
423101,42540,0.082
535082,44060,0.063
149173,16740,0.004
680475,20740,0.069
318054,42680,0.013
375993,11700,0.005
906095,27740,0.043
210280,49020,0.098
540219,50053,0.094
964034,43524,0.007
746815,13740,0.027
455493,14454,0.043
543610,50015,0.099
772445,13900,0.021
493208,31540,0.066
114982,12580,0.054
313251,37460,0.046
764288,47220,0.096
112813,25980,0.005
430566,24140,0.018
546091,17020,0.026
773236,39460,0.06
894779,12020,0.044
628476,47894,0.074
964644,41140,0.029
144920,17660,0.001
314741,47580,0.056
230563,50055,0.055
332477,32820,0.077
630936,37340,0.067
375436,34820,0.074
166414,39900,0.025
934467,45820,0.081
231829,13020,0.095
327638,20260,0.065
381147,27500,0.048
996088,50015,0.045
673518,31540,0.052
351069,48864,0.039
211037,19340,0.004
955863,36740,0.1
817280,24260,0.039
315842,50049,0.057
952276,44300,0.057
802024,50016,0.062
539679,29820,0.084
470655,30620,0.01
472433,39820,0.071
445329,31860,0.06
644517,22900,0.049
616871,38900,0.086
574179,26900,0.055
299731,40484,0.026
747440,39300,0.044
350460,23844,0.083
139604,49700,0.063
196848,44220,0.099
351186,29340,0.07
100776,50001,0.024
311307,39660,0.073
416164,50029,0.034
259477,31860,0.083
692518,45460,0.082
689584,13980,0.067
951902,50029,0.08
237198,30460,0.002
150361,21420,0.05
758007,35004,0.011
763815,50041,0.037
389439,27780,0.022
685983,14500,0.049
940267,50053,0.027
440836,43420,0.069
114674,31084,0.021
164981,47940,0.006
706016,49740,0.077
622590,19140,0.021
336371,47380,0.049
332342,33220,0.09
527480,23460,0.077
422361,38060,0.002
216229,47380,0.007
919760,29940,0.016
754917,49660,0.099
840342,29620,0.089
523857,36980,0.055
154460,42140,0.055
549764,31084,0.076
901764,15540,0.052
388276,29540,0.042
824743,34060,0.061
374858,24540,0.061
501647,39900,0.059
313332,23104,0.031
247216,14454,0.084
212129,33780,0.009
697951,45500,0.059
590532,21780,0.042
822120,40580,0.048
582844,21140,0.056
227436,27860,0.088
963362,36740,0.048
129471,29200,0.018
837064,31700,0.052
398063,18880,0.049
574040,42140,0.045
579798,40140,0.087
779853,16540,0.015
421503,43100,0.055
770323,48660,0.04
368731,49700,0.007
611189,46140,0.003
956534,24140,0.029
839536,23460,0.088
773471,29620,0.062
336155,27100,0.067
750938,29200,0.076
278977,47020,0.01
551429,19660,0.01
127115,22380,0.012
885545,44140,0.044
140393,34900,0.087
499746,35100,0.029
265284,33540,0.045
517649,23460,0.056
617784,39140,0.06
413990,15260,0.033
466583,41940,0.009
101154,33874,0.081
105767,24500,0.088
258107,34580,0.025
174655,36980,0.032
819163,50004,0.05
861891,34580,0.026
892407,19380,0.038
992550,19140,0.079
711859,20700,0.048
988916,19740,0.071
611011,48540,0.049
340607,23540,0.031
863676,11100,0.009
392748,46660,0.064
585419,36100,0.013
839633,43620,0.031
639426,41620,0.038
260607,38940,0.002
206068,29420,0.021
289827,26820,0.055
874215,28420,0.034
656855,14010,0.068
352707,12980,0.062
686049,41420,0.098
708954,41180,0.082
513267,11500,0.086
641732,29740,0.019
796615,33660,0.029
235100,50015,0.033
838034,42140,0.062
472171,28140,0.036
771640,22500,0.096
289973,40340,0.014
508641,29100,0.053
364114,30780,0.012
116535,25180,0.069
487469,23420,0.018
491583,27180,0.082
896239,28420,0.007
494188,25940,0.01
837355,17980,0.087
739706,24780,0.031
419252,40380,0.01
856942,25500,0.052
240591,30460,0.046
556646,41884,0.063
904596,20994,0.028
938164,11244,0.099
783679,28660,0.089
484954,17420,0.092
310461,50033,0.051
536941,27860,0.076
989905,49700,0.081
520957,47894,0.032
598106,12620,0.091
787669,24540,0.078
533791,20500,0.007
687337,40484,0.025
100433,50046,0.086
876964,30460,0.028
254635,28660,0.05
420975,33874,0.076
322910,11020,0.034
937700,29940,0.017
308396,40660,0.098
624864,15260,0.043
990771,39660,0.054
449667,50018,0.052
849300,39300,0.018
441204,31860,0.087
548962,49700,0.078
363775,29340,0.052
746460,34060,0.071
821049,33700,0.023
387570,40660,0.004
465959,49340,0.036
250776,10540,0.054
210626,50048,0.063
386651,24020,0.032
370260,49620,0.074
430088,32580,0.006
261876,14020,0.039
334829,50034,0.06
212465,19460,0.086
318206,42100,0.047
814370,27620,0.039
947147,21500,0.005
259253,10900,0.096
246698,48300,0.082
279463,50031,0.098
561798,31084,0.03
661658,49620,0.093
757443,30980,0.074
779687,18020,0.064
332243,12580,0.08
629300,32580,0.025
109771,19460,0.02
855115,41060,0.004
872316,22500,0.044
588212,35084,0.003
721753,47020,0.055
513879,16540,0.065
503164,12020,0.069
144010,29340,0.045
652253,30860,0.099
331002,19300,0.073
193858,50023,0.018
474507,41940,0.087
210405,48900,0.037
812551,50037,0.025
575767,35840,0.099
457506,39580,0.044
398900,29460,0.056
465519,25860,0.047
240056,22660,0.032
719559,50036,0.076
967315,32780,0.091
287754,21820,0.06
404412,29460,0.013
936726,50030,0.055
270017,43340,0.052
481264,12220,0.02
760161,23460,0.074
390056,29020,0.065
552182,24020,0.095
876137,15804,0.083
425106,46340,0.002
484500,10500,0.078
307156,24140,0.033
292378,14100,0.068
285961,15540,0.029
598220,49660,0.016
582523,32780,0.034
683372,35004,0.026
256450,31860,0.087
463936,21420,0.067
464616,48300,0.087
207148,43340,0.021
258205,43524,0.039
612899,24140,0.009
107834,13740,0.015
843515,18020,0.002
155903,37860,0.067
281527,38300,0.09
740680,33780,0.065
309332,14260,0.016
660507,14100,0.081
182074,48060,0.079
984475,23460,0.034
401504,19660,0.066
649631,19380,0.018
261872,33220,0.058
941771,25420,0.095
173525,10580,0.033
460115,32580,0.068
501257,16740,0.065
778170,23844,0.046
186149,16020,0.082
782092,15540,0.003
608789,38060,0.052
671761,16974,0.064
183788,31084,0.085
189825,50050,0.099
113519,41100,0.068
286074,36100,0.071
288545,34740,0.045
711159,35840,0.021
155457,50004,0.04
321609,37340,0.025
471391,24020,0.079
871980,50001,0.045
268964,29340,0.049
368433,43780,0.054
152047,47664,0.056
243244,27860,0.049
270018,10580,0.005
681725,37340,0.005
866800,20500,0.034
183366,50015,0.018
555367,30980,0.025
192216,50044,0.099
347332,35084,0.054
211589,26900,0.062
842283,44140,0.023
105845,22380,0.098
993689,30780,0.056
851654,41420,0.017
785809,29540,0.045
595962,22520,0.072
487935,49620,0.092
644173,27140,0.057
138356,16300,0.052
469246,13020,0.036
990807,34100,0.08
473195,29420,0.034
603875,35300,0.074
564785,23580,0.084
812068,49740,0.084
430424,32780,0.065
514167,50038,0.027
776042,10180,0.022
701407,31020,0.015
597865,27060,0.019
217415,48620,0.058
649078,50025,0.093
924734,41700,0.023
779720,17820,0.007
517770,20994,0.055
824484,34620,0.068
989044,26620,0.002
317593,22540,0.012
501931,34620,0.092
333752,47020,0.03
977893,30860,0.002
214534,50026,0.037
571052,16820,0.071
435839,22500,0.076
349187,34580,0.023
867508,40380,0.052
296450,29540,0.018
538887,14740,0.062
650663,30980,0.007
486358,26380,0.096
539915,22380,0.062
310500,10780,0.05
641763,23060,0.019
100150,35300,0.065
973609,19060,0.078
830242,28140,0.099
725893,50038,0.033
641699,50035,0.062
241958,12980,0.018
684909,45500,0.097
131314,29200,0.026
782794,24540,0.023
772924,48260,0.05
448620,24660,0.064
563864,37900,0.014
526221,31420,0.091
198902,17820,0.088
718293,42140,0.056
627463,28660,0.022
258969,28100,0.077
821426,25540,0.051
992671,31180,0.006
636878,21340,0.062
567871,34900,0.018
875328,0,0.079
601729,40420,0.1
191816,50038,0.07
214774,48700,0.005
976803,31460,0.094
440709,46700,0.036
928688,29200,0.057
443076,50028,0.046
292738,45940,0.019
702103,17140,0.041
361147,23060,0.077
846057,44700,0.068
318319,30860,0.026
495739,34820,0.029
357971,17460,0.062
806692,16540,0.047
424260,23540,0.086
424994,11700,0.032
864907,13220,0.031
230843,45460,0.03
256399,21660,0.078
660090,35300,0.01
884411,50004,0.084
408525,14740,0.064
120879,35614,0.078
929212,21500,0.02
381710,19340,0.024
789169,27900,0.077
454434,39900,0.032
890022,13820,0.066
970084,31020,0.029
752253,29100,0.06
327486,50030,0.008
870458,16974,0.058
195705,34060,0.063
600089,48620,0.081
649748,24020,0.076
962748,29404,0.013
198080,41060,0.048
478764,22520,0.077
563926,42034,0.007
827026,50037,0.004
414852,41660,0.016
401871,34580,0.006
225643,13140,0.067
739039,22380,0.032
623321,39380,0.035
399860,28140,0.046
250982,24020,0.001
399955,12100,0.015
626788,15804,0.005
140267,15940,0.073
692484,39740,0.094
302988,46700,0.049
215265,29820,0.078
575609,45300,0.015
667431,33220,0.065
406253,17900,0.051
594846,45780,0.054
542729,27060,0.027
627109,49700,0.051
986198,29620,0.022
129869,10500,0.063
162138,44220,0.005
234633,50006,0.087
989584,44220,0.049
415142,27100,0.099
293337,18700,0.079
936971,21500,0.021
592016,17020,0.081
587018,25500,0.077
389566,23580,0.042
699858,34060,0.068
934516,46700,0.007
348326,20020,0.038
816413,12260,0.038
706830,16940,0.091
606866,14540,0.03
852239,39660,0.095
462732,24420,0.096
638777,44300,0.018
696911,28940,0.026
513017,42220,0.052
806478,38540,0.054
911450,50008,0.02
534911,28700,0.007
899949,50006,0.057
278841,41884,0.094
857003,19060,0.068
873748,44060,0.006
532484,44140,0.015
803274,47940,0.006
645495,10580,0.021
760116,41660,0.036
140519,40484,0.061
564524,19340,0.043
487309,26820,0.017
597901,21420,0.043
980677,36260,0.018
658618,31020,0.08
310858,44140,0.009
594505,17900,0.015
562862,29700,0.027
578737,36420,0.009
422198,34980,0.095
526700,33780,0.007
858605,50038,0.036
937032,15980,0.055
638928,43100,0.048
313257,31700,0.049
904189,50048,0.025
980915,47580,0.082
329793,30780,0.055
111665,25260,0.096
113842,15980,0.034
477861,26420,0.081
167355,50016,0.028
444945,50038,0.051
373459,45780,0.014
660760,33700,0.073
253149,17780,0.052
205468,50035,0.068
985061,23104,0.026
644924,42100,0.092
895937,36100,0.064
991239,31020,0.07
718274,29700,0.08
543739,33340,0.051
223413,45500,0.043
295073,33260,0.036
100498,29620,0.084
454813,41884,0.05
390772,24300,0.006
409571,18700,0.093
533841,24420,0.011
738550,20524,0.098
352680,48660,0.047
948178,28740,0.029
888289,44060,0.098
936976,27900,0.017
231338,28020,0.046
207923,36540,0.067
518815,19460,0.077
662134,12700,0.041
436635,34100,0.039
861046,41740,0.076
149120,34820,0.058
737207,33780,0.044
407419,33660,0.055
400777,37964,0.021
670526,42220,0.039
800594,44700,0.068
785749,22744,0.096
718112,31860,0.082
222751,27860,0.032
812895,10540,0.006
594517,11500,0.084
846876,13900,0.026
346413,31700,0.088
294374,50009,0.081
542876,45460,0.064
584409,48140,0.068
942650,50037,0.096
186235,24420,0.012
987650,31140,0.093
511835,38940,0.01
883541,44100,0.093
802554,29340,0.082
523440,40580,0.071
420688,24780,0.041
444965,47580,0.087
729873,39580,0.051
153843,29340,0.057
878301,14260,0.06
553698,13220,0.033
666518,50032,0.069
582062,50015,0.094
634007,40900,0.015
634668,50001,0.096
477794,36740,0.097
159415,27900,0.056
752508,50041,0.058
139803,31460,0.016
334987,23460,0.083
472033,28660,0.039
812485,41060,0.064
903037,48300,0.011
198988,50044,0.025
588582,50012,0.045
327713,15180,0.099
572679,31700,0.041
438473,50032,0.045
869095,50018,0.097
421846,14100,0.083
966202,19804,0.066
867740,43420,0.061
337286,27780,0.064
798513,21660,0.095
343949,43780,0.054
885844,22744,0.013
889009,41884,0.06
744595,17300,0.088
919966,46340,0.054
383644,50021,0.073
737424,39580,0.03
150807,11460,0.009
770399,45060,0.054
641944,43580,0.066
469187,31900,0.091
299273,40220,0.053
166493,44300,0.051
248611,31340,0.056
745100,50046,0.075
489092,45060,0.098
618491,16740,0.039
989525,45940,0.073
961051,31340,0.025
784213,13900,0.026
728667,29180,0.051
638569,19660,0.088
857666,16540,0.054
418835,29740,0.066
408864,19740,0.08
251781,34100,0.095
426605,27740,0.059
591910,50038,0.1
712608,50033,0.075
586306,30780,0.064
458032,17020,0.065
981261,36420,0.003
350147,35380,0.02
275196,20260,0.075
978766,12940,0.072
347957,37860,0.041
138595,21660,0.09
948840,46220,0.016
881809,27740,0.014
479970,16180,0.044
375057,45060,0.023
825482,43420,0.093
786779,50041,0.035
441744,40484,0.003
110944,21340,0.048
800583,35300,0.005
538708,15540,0.04
171629,32900,0.049
695880,41700,0.013
528250,27740,0.085
993591,30860,0.02
198637,26300,0.049
913874,41940,0.037
709018,19340,0.081
213975,22420,0.063
562170,50054,0.067
802405,10740,0.091
216714,50023,0.098
585171,45780,0.08
384957,39300,0.004
657193,41540,0.018
866470,50013,0.002
612352,40980,0.084
564284,12060,0.057
367057,39300,0.091
878255,33220,0.014
711284,42100,0.095
298331,50027,0.035
481275,41060,0.035
465457,50037,0.047
686447,37340,0.076
186804,30300,0.056
326552,19140,0.049
642727,29340,0.008
385546,46220,0.098
696069,14454,0.003
570987,14020,0.027
601814,41180,0.008
159387,42034,0.018
840489,27620,0.006
308226,37964,0.027
990800,22540,0.057
770562,45460,0.001
176765,50047,0.098
128050,11460,0.026
121060,50041,0.032
446850,35300,0.052
541035,50056,0.063
392367,50042,0.052
772684,34980,0.074
748491,50041,0.032
597586,50049,0.077
425720,15180,0.094
997925,21500,0.032
348136,18880,0.061
252605,50011,0.043
841636,16860,0.026
642537,13220,0.056
149201,50010,0.07
955184,16700,0.021
705778,23580,0.075
583210,19740,0.043
930723,34900,0.099
423865,45780,0.054
542449,26300,0.087
679508,14260,0.055
183323,33460,0.067
928320,50016,0.05
496147,36260,0.092
568788,50035,0.057
113020,23460,0.08
930314,29740,0.032
467336,31420,0.095
799192,50037,0.035
415118,39900,0.003
444392,29200,0.044
385244,33340,0.002
715910,37964,0.085
306967,34820,0.1
499035,24660,0.055
145790,16580,0.086
903971,16974,0.057
296191,19660,0.019
814300,16220,0.092
716431,33140,0.01
305336,40380,0.024
473464,37620,0.026
271578,29100,0.027
862762,48620,0.016
804438,23104,0.052
279666,39900,0.066
324900,10580,0.047
883340,12060,0.037
735915,34740,0.004
420323,34580,0.049
863699,39460,0.051
747057,25420,0.04
780000,29020,0.077
253547,42100,0.05
461413,20524,0.032
135104,29020,0.018
965500,26620,0.055
253816,12220,0.083
720342,10780,0.049
467073,38220,0.04
901802,31700,0.039
535469,16300,0.058
832751,27180,0.059
578462,22660,0.031
758629,11260,0.019
935301,27100,0.01
278640,13460,0.05
582174,19660,0.043
549477,16974,0.097
137556,45460,0.008
809716,21820,0.039
599373,40060,0.073
371374,24300,0.061
445088,23580,0.025
155509,26900,0.004
963463,26140,0.021
192851,48864,0.069
151611,41060,0.054
232377,40140,0.031
882352,10540,0.024
259413,31860,0.01
689458,39380,0.036
655413,14860,0.027
842074,27260,0.033
544549,38300,0.057
101277,41500,0.096
376514,36140,0.026
275885,48424,0.073
973585,39380,0.069
652949,14500,0.094
787837,48260,0.005
739956,46060,0.097
102040,26900,0.096
984883,22020,0.084
173415,33140,0.009
419054,27500,0.001
582646,23540,0.1
753390,27060,0.018
964250,36260,0.03
891166,18580,0.082
848813,12060,0.062
514116,13140,0.043
547144,20020,0.098
594805,33874,0.057
306483,24260,0.022
560409,14740,0.051
943158,11244,0.023
514032,20524,0.065
392368,36220,0.081
149557,17300,0.076
720031,45780,0.06
830892,12060,0.006
589863,40060,0.025
692733,17780,0.021
808880,26900,0.031
380405,25860,0.095
460706,33860,0.025
791405,29180,0.019
285746,17660,0.025
391536,29740,0.098
264438,31084,0.02
898796,50032,0.04
777578,16820,0.094
991477,14010,0.032
629231,28940,0.081
840548,12100,0.094
712423,21140,0.092
134400,19460,0.022
754716,24660,0.083
547548,31740,0.038
265963,39660,0.065
838216,35084,0.069
710383,50027,0.039
806875,17460,0.028
985511,43900,0.006
325416,15764,0.007
687737,43524,0.06
784823,50041,0.079
196048,34740,0.015
219983,33780,0.075
496517,45104,0.088
442573,50042,0.054
826846,12940,0.021
385518,50018,0.067
456797,27740,0.076
257435,31900,0.057
194738,20500,0.03
817281,50032,0.053
121659,37100,0.094
200771,31140,0.006
529520,22220,0.1
679389,47260,0.058
618221,40340,0.026
692173,46700,0.039
829903,41180,0.076
649151,37340,0.057
948761,35660,0.016
814077,16740,0.075
165240,20220,0.045
717246,40380,0.008
177415,33660,0.091
291574,38940,0.024
955768,45540,0.009
363102,13020,0.009
180871,13220,0.099
504653,22900,0.055
156866,11460,0.025
491181,18140,0.065
895445,12580,0.075
616011,22140,0.064
171684,21820,0.062
762397,49420,0.022
680489,22660,0.051
218925,47664,0.061
913856,48620,0.037
514719,31900,0.088
644011,12980,0.063
316416,41940,0.018
614728,27980,0.037
156968,17820,0.029
642018,21140,0.01
564827,45060,0.033
378279,36780,0.07
945019,32900,0.088
977424,43100,0.048
937169,48260,0.054
851124,25260,0.015
830560,29620,0.064
607507,19500,0.068
763058,42220,0.033
731631,24420,0.011
750645,33740,0.054
965889,17300,0.025
685470,36420,0.004
112199,50037,0.055
823289,50012,0.042
265455,12220,0.018
223024,31460,0.073
768895,27740,0.098
539887,10180,0.084
551780,22380,0.038
698394,27060,0.084
699014,50010,0.021
516948,17780,0.026
779422,12580,0.098
183988,50022,0.019
521155,40900,0.085
675947,10900,0.046
187363,40220,0.01
107695,44220,0.021
975763,19060,0.037
645847,14500,0.013
936477,50053,0.066
232205,21300,0.056
268987,27100,0.009
480801,40980,0.066
210137,40420,0.038
627113,11100,0.086
868119,27500,0.041
661916,38060,0.068
339218,47664,0.025
986768,27860,0.072
684283,15180,0.08
781882,14740,0.036
147203,24780,0.081
816117,19060,0.06
571138,42200,0.088
640721,50049,0.055
538207,22420,0.077
107575,34100,0.027
743322,26980,0.053
576696,44140,0.075
644275,50012,0.093
841663,47020,0.003
299874,29460,0.096
741198,47300,0.033
545252,50012,0.079
783484,32580,0.063
267136,42034,0.01
419337,35380,0.079
814179,0,0.03
383891,0,0.1
739120,19340,0.052
482090,41500,0.044
655255,24660,0.071
824847,19380,0.078
666940,33874,0.013
831988,27140,0.011
268595,39820,0.04
648242,37340,0.059
944532,17780,0.039
406113,24500,0.035
805824,13460,0.09
565986,11540,0.056
716618,16860,0.053
434733,21060,0.037
229442,29020,0.041
630076,50006,0.061
251735,32820,0.047
829694,36140,0.014
275029,27180,0.085
675264,24420,0.042
790193,45540,0.002
580192,39740,0.048
705825,14020,0.015
869035,16740,0.065
816367,28940,0.059
666647,36100,0.075
676002,37860,0.086
343870,42100,0.05
179966,50051,0.099
583547,17420,0.015
317399,19180,0.057
156456,37900,0.073
692363,33660,0.018
539530,46700,0.025
372818,50013,0.086
607847,50009,0.09
803200,27620,0.076
525377,21780,0.057
203973,38900,0.084
973927,22900,0.001
185696,12980,0.046
897693,27620,0.087
741885,50053,0.044
401384,40900,0.097
697262,41420,0.08
148490,43620,0.037
765246,30700,0.092
795019,47580,0.077
959771,48260,0.057
614757,50012,0.085
343789,42200,0.058
496805,40340,0.081
999510,11260,0.053
341978,22220,0.017
330567,27140,0.023
316519,36540,0.025
820198,12220,0.055
225960,37340,0.04
578746,41740,0.092
478697,36740,0.098
767802,25540,0.008
688043,23844,0.027
975833,38340,0.1
902929,50006,0.047
318753,50010,0.024
784847,40380,0.066
788650,30780,0.073
821342,15980,0.097
666625,10780,0.055
952180,25260,0.059
238032,27060,0.036
355731,33700,0.049
957857,20700,0.007
676415,22020,0.006
672156,34900,0.018
403911,12260,0.082
672804,31340,0.093
583557,16820,0.068
626628,47380,0.005
569541,34100,0.032
652518,41540,0.063
658433,14010,0.005
739627,25980,0.06
965455,38860,0.09
936833,25220,0.093
191982,33140,0.058
663806,39900,0.025
316143,50025,0.045
588872,25980,0.042
567896,50041,0.051
697884,23540,0.052
300765,19300,0.045
468500,14020,0.026
127008,15940,0.003
107020,31460,0.051
750500,47220,0.098
586609,50002,0.027
423670,47220,0.082
985050,50056,0.058
760032,39340,0.035
916659,43340,0.046
103447,17140,0.028
279146,28100,0.044
928927,42200,0.073
766174,48060,0.044
341856,33874,0.078
768345,37964,0.073
177354,36420,0.075
137018,26420,0.055
625770,50021,0.046
600655,50004,0.07
482994,44180,0.029
263847,30980,0.086
377284,12020,0.097
831459,50028,0.08
946111,18880,0.048
544146,48540,0.02
757014,17820,0.057
840860,42700,0.016
194280,28700,0.069
493272,50019,0.036
