name,base,hieght
266,15,28
267,57,14
268,98,63
269,55,89
270,54,29
271,68,50
272,35,29
273,99,10
274,94,33
275,22,41
276,66,98
277,31,11
278,25,84
279,42,68
280,52,40
281,23,68
282,65,45
283,97,62
284,41,26
285,85,27
286,36,66
287,66,71
288,62,46
289,16,24
290,62,69
291,69,84
292,63,42
293,69,97
294,14,26
295,24,47
296,74,90
297,92,86
298,77,99
299,83,81
300,70,95
301,16,95
302,50,77
303,26,89
304,87,46
305,54,93
306,64,69
307,89,53
308,49,93
309,13,14
310,12,85
311,99,98
312,20,78
313,28,95
314,76,53
315,28,60
316,41,100
317,23,68
318,70,50
319,23,71
320,24,26
321,47,27
322,82,86
323,48,68
324,50,93
325,50,94
326,80,29
327,82,43
328,81,77
329,62,75
330,22,59
331,30,50
332,17,81
333,43,69
334,66,87
335,17,11
336,99,37
337,71,50
338,50,31
339,29,61
340,84,74
341,59,97
342,78,72
343,50,27
344,30,46
345,90,78
346,59,69
347,91,59
348,64,82
349,31,15
350,56,48
351,49,30
352,32,71
353,53,78
354,55,43
355,63,79
356,56,82
357,40,27
358,68,44
359,68,30
360,91,27
361,86,89
362,44,65
363,44,71
364,97,71
365,65,52
366,28,32
367,16,78
368,63,47
369,34,65
370,22,88
371,41,74
372,85,52
373,56,26
374,60,91
375,65,13
376,44,96
377,86,88
378,50,25
379,34,56
380,49,46
381,18,29
382,62,71
383,84,91
384,74,47
385,17,58
386,42,99
387,25,51
388,10,59
389,58,24
390,41,67
391,32,89
392,48,15
393,91,33
394,73,31
395,16,41
396,47,14
397,37,82
398,10,33
399,93,85
400,20,12
401,35,14
402,49,61
403,17,67
404,47,86
405,57,49
406,20,48
407,30,51
408,20,70
409,83,17
410,37,56
411,99,71
412,43,93
413,89,77
414,75,16
415,10,62
416,90,52
417,52,89
418,78,72
419,27,34
420,31,26
421,47,37
422,93,77
423,56,72
424,66,34
425,93,72
426,68,52
427,56,26
428,33,57
429,15,23
430,57,35
431,37,37
432,83,37
433,21,90
434,19,10
435,96,94
436,35,87
437,43,36
438,91,33
439,19,45
440,94,50
441,43,95
442,67,12
443,99,60
444,23,13
445,58,80
446,45,71
447,94,62
448,78,60
449,90,98
450,43,55
451,67,47
452,15,47
453,65,70
454,81,34
455,71,22
456,27,42
457,74,24
458,20,78
459,59,48
460,28,30
461,31,15
462,30,60
463,36,82
464,66,93
465,96,77
466,80,25
467,27,14
468,22,91
469,80,56
470,45,26
471,30,86
472,86,65
473,95,10
474,20,30
475,45,59
476,66,73
477,63,89
478,32,24
479,99,79
480,39,11
481,37,65
482,45,94
483,13,47
484,53,99
485,20,18
486,89,54
487,14,92
488,95,65
489,91,68
490,70,50
491,13,83
492,84,49
493,41,61
494,43,93
495,93,47
496,89,75
497,47,27
498,88,18
499,90,49
500,17,17
501,26,92
502,94,48
503,64,39
504,43,85
505,13,67
506,41,83
507,38,95
508,83,56
509,44,62
510,13,19
511,100,64
512,13,52
513,61,92
514,99,33
515,86,10
516,45,56
517,46,74
518,48,78
519,14,34
520,31,63
521,21,91
522,99,75
523,91,94
524,86,88
525,64,13
526,32,97
527,53,96
528,67,21
529,13,10
530,91,46
531,59,14
532,91,66
533,96,96
534,63,10
535,39,10
536,37,70
537,56,70
538,25,57
539,59,19
540,79,99
541,63,37
542,24,40
543,28,66
544,95,17
545,78,100
546,97,47
547,60,38
548,44,46
549,78,94
550,85,24
551,72,76
552,12,43
553,70,73
554,86,32
555,75,75
556,33,54
557,85,99
558,26,33
559,47,83
560,23,98
561,65,35
562,84,28
563,20,58
564,29,37
565,49,60
566,90,91
567,39,33
568,69,55
569,44,13
570,10,46
571,66,78
572,38,82
573,40,35
574,50,35
575,100,74
576,48,73
577,29,68
578,57,85
579,13,90
580,18,100
581,33,97
582,55,67
583,13,65
584,42,17
585,33,13
586,26,17
587,19,72
588,48,41
589,51,85
590,29,19
591,55,91
592,54,23
593,20,38
594,35,30
595,65,47
596,85,12
597,51,77
598,35,34
599,49,10
600,71,57
601,42,77
602,48,87
603,72,83
604,100,42
605,35,26
606,26,76
607,34,94
608,23,77
609,82,22
610,64,10
611,57,25
612,62,46
613,62,57
614,37,25
615,70,86
616,68,73
617,99,30
618,18,61
619,76,96
620,71,13
621,53,96
622,71,38
623,18,80
624,67,97
625,11,87
626,53,69
627,50,46
628,55,80
629,64,33
630,78,56
631,60,78
632,92,70
633,26,80
634,49,36
635,63,30
636,62,84
637,16,30
638,41,40
639,12,48
640,47,71
641,70,34
642,93,42
643,10,48
644,36,80
645,98,87
646,44,12
647,69,49
648,94,25
649,53,50
650,21,62
651,82,49
652,89,62
653,77,27
654,42,58
655,29,99
656,37,100
657,71,100
658,70,11
659,14,42
660,77,42
661,15,20
662,20,53
663,35,52
664,91,90
665,86,45
666,58,55
667,43,21
668,40,45
669,43,62
670,28,57
671,74,88
672,10,24
673,86,36
674,28,87
675,42,53
676,30,16
677,35,67
678,64,45
679,69,10
680,71,87
681,54,40
682,56,79
683,37,41
684,53,73
685,100,52
686,45,23
687,60,43
688,60,24
689,80,80
690,64,85
691,36,14
692,50,57
693,59,35
694,63,69
695,53,83
696,35,30
697,93,14
698,90,17
699,84,54
700,23,29
701,71,95
702,75,21
703,15,16
704,64,79
705,46,97
706,84,74
707,100,52
708,40,50
709,69,53
710,95,89
711,76,10
712,55,68
713,64,59
714,53,47
715,52,17
716,56,89
717,70,40
718,40,36
719,98,98
720,10,73
721,22,82
722,36,76
723,55,29
724,79,33
725,51,47
726,69,25
727,50,14
728,81,68
729,93,48
730,88,53
731,32,37
732,19,82
733,79,93
734,24,48
735,93,13
736,85,88
737,86,91
738,37,28
739,80,49
740,82,60
741,45,69
742,96,38
743,93,91
744,45,11
745,89,39
746,48,14
747,99,83
748,81,91
749,35,75
750,16,12
751,42,21
752,40,99
753,73,92
754,39,95
755,31,18
756,49,21
757,60,58
758,95,40
759,42,73
760,84,80
761,17,15
762,32,23
763,17,71
764,12,30
765,56,19
766,23,27
767,44,75
768,85,90
769,34,69
770,24,61
771,44,97
772,45,99
773,27,70
774,55,84
775,84,45
776,74,73
777,75,96
778,29,63
779,22,37
780,71,78
781,56,78
782,52,19
783,61,94
784,83,43
785,97,20
786,29,97
787,24,66
788,63,64
789,91,84
790,42,72
791,97,94
792,75,44
793,24,49
794,91,86
795,75,28
796,91,90
797,11,19
798,40,92
799,23,42
800,29,86
801,84,11
802,44,52
803,69,15
804,45,84
805,13,28
806,92,34
807,72,26
808,12,72
809,100,57
810,83,28
811,11,69
812,70,69
813,54,83
814,79,94
815,89,27
816,67,42
817,38,14
818,23,42
819,45,20
820,72,22
821,39,53
822,36,94
823,38,25
824,61,10
825,62,14
826,29,83
827,83,80
828,69,72
829,36,81
830,51,88
831,47,90
832,79,89
833,41,39
834,23,94
835,66,42
836,22,82
837,75,71
838,13,40
839,38,81
840,20,73
841,43,90
842,45,38
843,18,41
844,20,98
845,85,51
846,23,55
847,29,79
848,64,91
849,26,92
850,41,22
851,65,91
852,55,32
853,93,67
854,81,43
855,62,41
856,48,11
857,89,11
858,23,28
859,42,34
860,14,34
861,59,80
862,56,86
863,42,90
864,74,52
865,59,47
866,17,51
867,59,12
868,80,99
869,59,39
870,17,45
871,52,97
872,81,66
873,57,28
874,10,24
875,92,32
876,37,43
877,97,98
878,56,20
879,13,54
880,72,82
881,28,65
882,38,77
883,11,65
884,49,22
885,35,13
886,86,55
887,31,39
888,30,61
889,35,89
890,78,33
891,10,14
892,89,100
893,19,18
894,87,30
895,32,99
896,71,62
897,85,25
898,72,96
899,90,99
900,48,58
901,50,16
902,48,80
903,32,75
904,74,55
905,79,85
906,54,73
907,19,53
908,45,66
909,52,47
910,71,82
911,99,36
912,15,65
913,72,56
914,41,98
915,84,94
916,27,38
917,94,62
918,22,53
919,57,20
920,34,74
921,97,43
922,85,100
923,25,22
924,11,61
925,11,88
926,78,84
927,12,36
928,58,96
929,83,60
930,60,76
931,54,21
932,82,99
933,23,83
934,65,69
935,80,90
936,88,18
937,21,31
938,15,56
939,80,52
940,91,27
941,44,42
942,80,20
943,51,29
944,93,30
945,87,97
946,24,20
947,15,68
948,76,13
949,82,71
950,41,69
951,94,97
952,52,53
953,77,26
954,52,47
955,56,55
956,79,52
957,63,37
958,46,29
959,12,54
960,88,12
961,48,97
962,85,17
963,65,56
964,80,19
965,79,70
966,23,79
967,84,16
968,46,67
969,19,17
970,21,33
971,46,19
972,81,78
973,64,69
974,69,33
975,84,99
976,43,61
977,39,62
978,45,66
979,90,16
980,16,46
981,82,63
982,38,59
983,94,58
984,58,92
985,30,29
986,50,90
987,11,34
988,37,10
989,22,35
990,43,95
991,22,91
992,42,39
993,35,49
994,48,10
995,56,11
996,49,68
997,70,86
998,98,67
999,55,56
1000,60,40
1001,89,91
1002,95,19
1003,26,21
1004,62,37
1005,80,25
1006,33,60
1007,37,32
1008,19,38
1009,36,21
1010,63,36
1011,60,91
1012,19,79
1013,37,63
1014,39,74
1015,40,43
1016,49,95
1017,77,32
1018,86,59
1019,52,59
1020,74,79
1021,59,69
1022,62,97
1023,78,43
1024,81,86
1025,45,63
1026,35,61
1027,14,64
1028,85,30
1029,52,61
1030,25,55
1031,73,65
1032,83,26
1033,44,11
1034,34,87
1035,83,38
1036,49,24
1037,70,40
1038,94,77
1039,51,60
1040,90,49
1041,57,81
1042,58,19
1043,79,38
1044,35,88
1045,85,37
1046,57,46
1047,47,58
1048,64,73
1049,68,87
1050,44,59
1051,54,87
1052,35,95
1053,25,42
1054,24,51
1055,42,53
1056,68,42
1057,87,10
1058,68,68
1059,16,56
1060,96,99
1061,83,90
1062,64,49
1063,95,93
1064,23,27
1065,18,27
1066,93,75
1067,67,89
1068,57,82
1069,60,25
1070,79,75
1071,36,65
1072,75,75
1073,22,19
1074,88,93
1075,72,69
1076,26,43
1077,61,61
1078,66,33
1079,69,39
1080,75,72
1081,83,37
1082,40,78
1083,50,71
1084,58,93
1085,79,35
1086,76,35
1087,30,75
1088,23,48
1089,38,10
1090,88,46
1091,33,56
1092,93,21
1093,71,74
1094,38,32
1095,83,43
1096,18,40
1097,99,60
1098,78,27
1099,53,22
1100,98,36
1101,80,48
1102,54,85
1103,12,84
1104,92,40
1105,80,96
1106,74,72
1107,86,96
1108,20,11
1109,49,45
1110,71,50
1111,49,86
1112,84,79
1113,88,12
1114,43,49
1115,64,17
1116,66,41
1117,96,31
1118,90,43
1119,96,24
1120,52,95
1121,93,17
1122,53,70
1123,39,57
1124,63,94
1125,81,22
1126,20,92
1127,56,15
1128,11,13
1129,27,69
1130,43,17
1131,57,45
1132,51,45
1133,78,48
1134,82,58
1135,37,70
1136,36,87
1137,65,35
1138,29,84
1139,53,90
1140,87,52
1141,73,39
1142,48,58
1143,17,69
1144,42,35
1145,93,89
1146,46,99
1147,73,88
1148,57,97
1149,16,22
1150,99,32
1151,44,71
1152,74,39
1153,30,81
1154,29,14
1155,33,77
1156,91,38
1157,33,49
1158,21,81
1159,10,16
1160,76,33
1161,25,69
1162,66,61
1163,61,65
1164,91,77
1165,34,39
1166,66,94
1167,90,53
1168,74,11
1169,68,92
1170,97,64
1171,90,53
1172,99,62
1173,83,16
1174,20,26
1175,62,26
1176,81,47
1177,22,20
1178,68,12
1179,29,32
1180,35,26
1181,14,43
1182,17,51
1183,56,71
1184,98,18
1185,64,54
1186,21,99
1187,25,99
1188,57,72
1189,78,31
1190,56,25
1191,72,61
1192,32,84
1193,78,55
1194,81,12
1195,85,59
1196,67,35
1197,54,87
1198,67,59
1199,19,39
1200,91,99
1201,59,51
1202,35,58
1203,57,78
1204,32,59
1205,52,33
1206,71,20
1207,94,69
1208,85,53
1209,97,63
1210,98,60
1211,92,68
1212,20,47
1213,56,10
1214,13,49
1215,12,73
1216,71,80
1217,73,14
1218,83,22
1219,71,15
1220,66,50
1221,60,76
1222,43,72
1223,29,49
1224,93,93
1225,27,22
1226,16,74
1227,40,54
1228,43,60
1229,15,51
1230,41,43
1231,79,68
1232,82,30
1233,84,91
1234,83,63
1235,91,89
1236,52,24
1237,22,15
1238,64,100
1239,80,57
1240,86,22
1241,68,74
1242,82,22
1243,20,14
1244,56,95
1245,28,27
1246,32,78
1247,95,88
1248,37,32
1249,91,100
1250,29,34
1251,48,39
1252,17,99
1253,98,42
1254,88,25
1255,96,70
1256,26,54
1257,49,34
1258,86,85
1259,74,21
1260,57,39
1261,89,10
1262,64,32
1263,96,44
1264,70,58
1265,75,24
1266,81,96
1267,11,80
1268,25,60
1269,56,83
1270,65,23
1271,44,25
1272,45,19
1273,46,97
1274,12,100
1275,48,33
1276,49,42
1277,69,13
1278,45,90
1279,84,68
1280,42,67
1281,80,28
1282,57,41
1283,88,87
1284,73,33
1285,96,69
1286,47,85
1287,100,20
1288,55,19
1289,79,84
1290,31,92
1291,76,32
1292,95,84
1293,42,57
1294,80,74
1295,28,82
1296,62,100
1297,30,92
1298,35,18
1299,28,26
1300,34,42
1301,51,96
1302,32,91
1303,67,59
1304,66,19
1305,34,99
1306,100,46
1307,50,44
1308,94,12
1309,86,43
1310,81,71
1311,12,89
1312,22,76
1313,37,79
1314,93,90
1315,34,84
1316,52,75
1317,85,93
1318,40,79
1319,84,28
1320,50,48
1321,32,69
1322,54,92
1323,20,48
1324,34,15
1325,28,96
1326,21,77
1327,41,66
1328,15,33
1329,72,34
1330,42,96
1331,85,93
1332,55,18
1333,60,53
1334,27,65
1335,80,48
1336,71,15
1337,50,34
1338,39,39
1339,31,19
1340,80,83
1341,34,10
1342,51,62
1343,84,20
1344,64,44
1345,72,25
1346,86,83
1347,100,63
1348,90,90
1349,47,56
1350,38,40
1351,96,54
1352,75,14
1353,94,35
1354,92,48
1355,56,52
1356,93,89
1357,47,19
1358,57,93
1359,40,77
1360,86,95
1361,31,77
1362,30,98
1363,34,67
1364,92,15
1365,69,92
1366,87,24
1367,47,23
1368,50,56
1369,96,79
1370,45,70
1371,85,42
1372,23,28
1373,84,59
1374,45,82
1375,59,48
1376,16,45
1377,45,34
1378,28,87
1379,26,35
1380,30,98
1381,79,28
1382,77,27
1383,60,33
1384,54,96
1385,92,48
1386,98,72
1387,25,72
1388,66,56
1389,70,47
1390,65,64
1391,58,49
1392,88,36
1393,77,81
1394,87,84
1395,30,83
1396,71,46
1397,40,94
1398,34,58
1399,28,65
1400,77,72
1401,89,77
1402,15,16
1403,59,64
1404,19,93
1405,89,94
1406,99,64
1407,57,12
1408,37,83
1409,23,67
1410,66,90
1411,40,68
1412,22,62
1413,15,38
1414,10,30
1415,46,99
1416,29,11
1417,68,17
1418,74,22
1419,16,64
1420,24,88
1421,70,82
1422,29,19
1423,65,62
1424,26,14
1425,38,20
1426,25,74
1427,89,56
1428,54,34
1429,26,56
1430,28,74
1431,45,74
1432,58,60
1433,69,44
1434,33,51
1435,54,23
1436,74,86
1437,58,99
1438,91,95
1439,32,78
1440,36,18
1441,25,15
1442,59,76
1443,55,43
1444,69,53
1445,95,37
1446,81,61
1447,85,99
1448,76,91
1449,91,61
1450,75,57
1451,27,18
1452,21,66
1453,59,44
1454,38,67
1455,98,48
1456,81,17
1457,30,86
1458,50,94
1459,92,82
1460,67,87
1461,89,25
1462,20,94
1463,91,55
1464,16,10
1465,87,17
1466,80,22
1467,68,45
1468,14,94
1469,58,75
1470,10,100
1471,56,53
1472,35,76
1473,53,28
1474,68,60
1475,81,85
1476,26,100
1477,80,68
1478,46,29
1479,71,45
1480,11,14
1481,61,29
1482,30,17
1483,22,17
1484,19,16
1485,20,41
1486,55,64
1487,90,73
1488,52,21
1489,88,40
1490,30,78
1491,86,26
1492,30,91
1493,95,87
1494,66,27
1495,67,66
1496,64,84
1497,22,20
1498,10,30
1499,68,78
1500,47,90
1501,91,77
1502,15,48
1503,10,78
1504,21,42
1505,67,51
1506,34,59
1507,25,94
1508,34,84
1509,24,25
1510,32,73
1511,20,22
1512,37,91
1513,68,97
1514,24,79
1515,41,90
1516,38,78
1517,67,51
1518,16,24
1519,76,60
1520,12,49
1521,98,39
1522,17,33
1523,80,40
1524,82,55
1525,16,59
1526,47,33
1527,85,21
1528,60,93
1529,81,75
1530,68,40
1531,52,77
1532,89,51
1533,37,48
1534,51,47
1535,87,84
1536,12,36
1537,80,11
1538,30,85
1539,18,53
1540,95,40
1541,73,53
1542,37,22
1543,27,20
1544,83,100
1545,19,96
1546,59,20
1547,96,31
1548,70,64
1549,16,38
1550,29,93
1551,48,93
1552,38,63
1553,53,12
1554,13,27
1555,47,56
1556,34,27
1557,27,55
1558,60,77
1559,98,97
1560,95,30
1561,15,57
1562,94,44
1563,63,22
1564,42,53
1565,28,67
1566,12,69
1567,77,90
1568,93,90
1569,17,75
1570,88,77
1571,76,45
1572,31,95
1573,52,67
1574,26,98
1575,67,54
1576,49,58
1577,35,29
1578,71,84
1579,97,56
1580,11,44
1581,43,57
1582,84,22
1583,94,79
1584,98,85
1585,97,67
1586,11,59
1587,25,51
1588,27,90
1589,89,11
1590,45,44
1591,90,11
1592,29,39
1593,83,16
1594,79,32
1595,18,79
1596,19,37
1597,54,31
1598,90,27
1599,90,21
1600,12,14
1601,89,95
1602,47,43
1603,26,51
1604,46,42
1605,29,94
1606,55,36
1607,42,85
1608,64,95
1609,11,82
1610,78,79
1611,40,31
1612,33,25
1613,68,99
1614,54,84
1615,11,38
1616,52,32
1617,22,91
1618,12,88
1619,38,51
1620,34,48
1621,73,68
1622,89,42
1623,11,74
1624,91,74
1625,22,54
1626,24,15
1627,31,96
1628,72,19
1629,70,58
1630,68,78
1631,58,93
1632,43,53
1633,100,32
1634,18,79
1635,80,67
1636,58,64
1637,36,91
1638,77,42
1639,15,67
1640,90,59
1641,95,99
1642,15,39
1643,11,67
1644,11,52
1645,82,60
1646,45,20
1647,38,43
1648,84,92
1649,29,88
1650,50,99
1651,49,36
1652,19,17
1653,95,89
1654,50,91
1655,100,10
1656,68,26
1657,93,58
1658,86,81
1659,76,52
1660,62,43
1661,100,36
1662,34,59
1663,69,55
1664,62,46
1665,55,45
1666,76,71
1667,49,25
1668,15,75
1669,23,29
1670,11,22
1671,32,36
1672,27,49
1673,66,48
1674,29,12
1675,37,53
1676,100,43
1677,82,13
1678,43,76
1679,19,89
1680,97,94
1681,36,23
1682,30,19
1683,74,74
1684,28,61
1685,51,49
1686,90,82
1687,24,14
1688,17,19
1689,13,42
1690,75,76
1691,76,81
1692,59,44
1693,69,85
1694,54,92
1695,18,96
1696,12,41
1697,76,65
1698,10,30
1699,34,89
1700,95,39
1701,84,43
1702,32,50
1703,31,49
1704,71,90
1705,18,29
1706,10,95
1707,22,60
1708,72,53
1709,63,58
1710,76,83
1711,70,41
1712,38,55
1713,82,70
1714,75,47
1715,52,73
1716,51,18
1717,90,56
1718,22,45
1719,28,49
1720,16,70
1721,55,26
1722,67,41
1723,67,59
1724,79,95
1725,50,67
1726,16,88
1727,77,87
1728,51,93
1729,35,68
1730,46,37
1731,76,16
1732,34,57
1733,75,34
1734,21,59
1735,10,51
1736,87,66
1737,100,50
1738,79,91
1739,26,66
1740,38,88
1741,45,14
1742,58,49
1743,85,68
1744,100,66
1745,40,10
1746,75,42
1747,10,54
1748,74,83
1749,22,37
1750,50,98
1751,64,100
1752,18,70
1753,39,37
1754,97,23
1755,54,44
1756,56,28
1757,70,71
1758,25,85
1759,64,19
1760,77,34
1761,15,39
1762,99,99
1763,19,78
1764,12,100
1765,37,80
1766,74,83
1767,49,72
1768,32,21
1769,46,91
1770,36,68
1771,75,38
1772,50,15
1773,79,14
1774,54,91
1775,61,37
1776,37,63
1777,14,95
1778,72,35
1779,97,55
1780,12,58
1781,20,41
1782,32,57
1783,47,61
1784,53,13
1785,47,55
1786,20,80
1787,31,65
1788,31,40
1789,58,18
1790,11,71
1791,35,18
1792,79,22
1793,12,26
1794,91,21
1795,25,90
1796,76,43
1797,97,29
1798,29,81
1799,91,49
1800,32,75
1801,50,70
1802,44,12
1803,53,12
1804,20,97
1805,68,55
1806,63,30
1807,59,69
1808,73,11
1809,12,34
1810,75,81
1811,72,23
1812,98,29
1813,41,68
1814,59,36
1815,18,35
1816,76,65
1817,79,89
1818,13,40
1819,20,81
1820,99,95
1821,42,25
1822,81,56
1823,71,18
1824,81,40
1825,99,25
1826,79,20
1827,52,73
1828,80,70
1829,39,30
1830,100,42
1831,92,56
1832,42,30
1833,62,38
1834,46,98
1835,62,29
1836,48,11
1837,84,13
1838,80,20
1839,81,22
1840,64,18
1841,65,88
1842,73,35
1843,61,70
1844,98,47
1845,82,66
1846,78,25
1847,42,67
1848,18,52
1849,89,52
1850,23,54
1851,26,61
1852,29,79
1853,75,21
1854,94,88
1855,36,21
1856,89,93
1857,65,35
1858,25,93
1859,29,45
1860,52,49
1861,27,57
1862,10,28
1863,97,26
1864,36,34
1865,10,17
1866,32,88
1867,22,51
1868,34,99
1869,19,16
1870,47,59
1871,91,22
1872,65,27
1873,21,60
1874,64,27
1875,84,50
1876,57,14
1877,93,22
1878,20,13
1879,59,39
1880,30,73
1881,38,58
1882,98,54
1883,10,82
1884,41,61
1885,27,73
1886,64,39
1887,40,97
1888,62,78
1889,34,67
1890,73,26
1891,90,45
1892,16,37
1893,44,49
1894,61,19
1895,82,30
1896,35,38
1897,12,19
1898,17,90
1899,74,73
1900,79,94
1901,12,29
1902,23,80
1903,47,49
1904,94,15
1905,29,14
1906,60,48
1907,55,61
1908,17,93
1909,81,77
1910,84,25
1911,97,46
1912,22,40
1913,38,63
1914,59,59
1915,38,71
1916,25,57
1917,46,56
1918,85,37
1919,96,44
1920,23,67
1921,96,87
1922,20,46
1923,50,38
1924,27,82
1925,22,33
1926,63,46
1927,94,18
1928,73,18
1929,14,40
1930,70,12
1931,39,75
1932,21,47
1933,89,92
1934,49,67
1935,12,93
1936,47,86
1937,43,14
1938,26,86
1939,11,46
1940,92,74
1941,48,70
1942,84,25
1943,58,61
1944,28,25
1945,51,53
1946,67,64
1947,79,94
1948,36,11
1949,81,18
1950,87,63
1951,24,85
1952,97,92
1953,68,78
1954,73,60
1955,13,45
1956,83,67
1957,82,41
1958,98,71
1959,20,80
1960,91,53
1961,37,69
1962,28,41
1963,30,63
1964,78,31
1965,42,17
1966,90,77
1967,51,64
1968,83,97
1969,63,67
1970,97,54
1971,58,36
1972,54,68
1973,22,61
1974,84,28
1975,64,98
1976,37,69
1977,11,25
1978,30,31
1979,29,97
1980,33,58
1981,100,62
1982,15,10
1983,80,41
1984,15,30
1985,29,90
1986,75,14
1987,48,22
1988,73,42
1989,70,55
1990,98,79
1991,67,74
1992,95,88
1993,19,81
1994,62,11
1995,80,98
1996,76,83
1997,84,53
1998,31,63
1999,92,62
2000,63,84
2001,82,84
2002,94,33
2003,85,25
2004,19,96
2005,78,17
2006,92,31
2007,29,63
2008,47,90
2009,46,76
2010,41,89
2011,84,87
2012,80,28
2013,32,35
2014,15,43
2015,43,69
2016,28,56
2017,19,98
2018,62,49
2019,10,71
2020,53,99
2021,38,66
2022,89,33
2023,56,89
2024,55,88
2025,91,16
2026,71,36
2027,80,63
2028,75,94
2029,80,60
2030,13,36
2031,73,46
2032,85,24
2033,44,24
2034,34,94
2035,84,79
2036,64,88
2037,28,41
2038,34,96
2039,17,42
2040,14,34
2041,13,91
2042,46,38
2043,55,10
2044,32,74
2045,87,56
2046,80,27
2047,97,41
2048,77,46
2049,53,19
2050,12,62
2051,26,89
2052,91,36
2053,28,98
2054,59,96
2055,77,48
2056,23,36
2057,55,44
2058,77,67
2059,72,78
2060,33,97
2061,17,72
2062,13,50
2063,37,67
2064,30,30
2065,36,67
2066,72,15
2067,47,74
2068,37,25
2069,85,56
2070,14,86
2071,74,34
2072,100,63
2073,90,69
2074,41,67
2075,10,56
2076,32,21
2077,31,81
2078,30,52
2079,48,26
2080,72,12
2081,68,31
2082,13,30
2083,75,16
2084,24,58
2085,77,33
2086,57,90
2087,85,26
2088,25,66
2089,94,73
2090,97,80
2091,56,20
2092,79,46
2093,59,77
2094,78,22
2095,88,34
2096,85,70
2097,29,55
2098,32,62
2099,46,80
2100,76,49
2101,94,77
2102,63,89
2103,67,21
2104,67,58
2105,20,82
2106,76,56
2107,69,73
2108,68,96
2109,48,26
2110,68,28
2111,26,75
2112,65,46
2113,86,84
2114,30,76
2115,75,92
2116,14,71
2117,36,47
2118,77,12
2119,85,78
2120,29,94
2121,25,59
2122,99,65
2123,87,86
2124,58,26
2125,27,16
2126,67,90
2127,66,88
2128,84,12
2129,13,86
2130,45,16
2131,10,59
2132,97,49
2133,12,15
2134,37,89
2135,51,48
2136,84,69
2137,77,15
2138,65,68
2139,50,52
